# token	id	count	
/m/09c7w0	2	8642
/m/09nqf	3	4749
/m/08mbj5d	4	4364
/m/04ztj	5	3679
/m/05zppz	6	3567
/m/02h40lc	7	3225
/m/02hrh1q	8	2767
/m/07ssc	9	2226
/m/02sdk9v	10	1797
/m/02nzb8	11	1785
/m/02_j1w	12	1755
/m/029j_	13	1695
/m/07s9rl0	14	1655
/m/0dgrmp	15	1508
/m/0342h	16	1262
/m/02_286	17	1232
/m/0f8l9c	18	1102
/m/01d_h8	19	1088
/m/0dxtg	20	1073
/m/0d060g	21	1027
/m/0345h	22	1008
/m/0ch6mp2	23	990
/m/02zsn	24	986
/m/09zzb8	25	976
/m/0jbk9	26	971
/m/05r5c	27	922
/m/030qb3t	28	884
/m/02jx1	29	867
/m/02r96rf	30	862
/m/03rjj	31	840
/m/09vw2b7	32	814
/m/0chghy	33	810
/m/018vs	34	771
/m/060c4	35	764
/m/05148p4	36	761
/m/02jknp	37	748
/m/05p553	38	740
/m/03_3d	39	736
/m/01jfsb	40	719
/m/09jwl	41	710
/m/03gjzk	42	693
/m/059j2	43	683
/m/09sb52	44	670
/m/0l14md	45	656
/m/0gq9h	46	654
/m/03rk0	47	652
/m/014mlp	48	622
/m/06mkj	49	620
/m/0d0vqn	50	607
/m/02hnl	51	593
/m/02vzc	52	568
/m/086k8	53	566
/m/0gs9p	54	564
/m/02hcv8	55	562
/m/02l7c8	56	547
/m/0gqy2	57	545
/m/04jpl	58	544
/m/0l14qv	59	538
/m/0cbd2	60	537
/m/02kdv5l	61	534
/m/0f4x7	62	529
/m/03k9fj	63	521
/m/05qhw	64	520
/m/0k6nt	65	514
/m/06by7	66	513
/m/0jgd	67	510
/m/02vx4	68	507
/m/0154j	69	500
/m/0b90_r	70	499
/m/01n7q	71	499
/m/04xvlr	72	497
/m/0gr4k	73	494
/m/04n6k	74	493
/m/03gj2	75	493
/m/015fr	76	492
/m/0dxtw	77	482
/m/059rby	78	479
/m/03h64	79	478
/m/0c8wxp	80	477
/m/05r4w	81	476
/m/0nbcg	82	476
/m/05qd_	83	475
/m/06bnz	84	471
/m/03rt9	85	470
/m/035qy	86	466
/m/01hmnh	87	465
/m/05b4w	88	465
/m/019f4v	89	462
/m/0ctw_b	90	458
/m/02h4rq6	91	452
/m/03bx0bm	92	451
/m/0gqwc	93	450
/m/040njc	94	449
/m/0gq_v	95	449
/m/083jv	96	442
/m/026t6	97	437
/m/0gqyl	98	436
/m/019v9k	99	434
/m/0ckd1	100	433
/m/064_8sq	101	426
/m/01vj9c	102	424
/m/017s11	103	420
/m/016tw3	104	416
/m/042v_gx	105	415
/m/03qjg	106	415
/m/013y1f	107	410
/m/01znc_	108	410
/m/0np9r	109	408
/m/02sgy	110	404
/m/0gr51	111	404
/m/01vx2h	112	404
/m/041rx	113	402
/m/064t9	114	399
/m/016tt2	115	398
/m/0gr0m	116	396
/m/01pvkk	117	392
/m/0ck27z	118	390
/m/01g63y	119	389
/m/04rzd	120	386
/m/0h7x	121	385
/m/0k611	122	373
/m/06mzp	123	372
/m/0dz3r	124	370
/m/0kyk	125	367
/m/0d05w3	126	367
/m/01z4y	127	367
/m/04dn09n	128	366
/m/0l8z1	129	363
/m/0kbws	130	356
/m/0p9sw	131	354
/m/03spz	132	354
/m/06qd3	133	353
/m/0lsxr	134	352
/m/06sks6	135	349
/m/016z4k	136	348
/m/018gz8	137	347
/m/01mjq	138	340
/m/01vdm0	139	337
/m/01c72t	140	336
/m/018j2	141	322
/m/0gs96	142	322
/m/06t2t	143	322
/m/05v8c	144	321
/m/04kxsb	145	320
/m/054krc	146	316
/m/0x67	147	314
/m/02_xgp2	148	314
/m/016t_3	149	312
/m/01by1l	150	307
/m/06n90	151	305
/m/05jxkf	152	304
/m/01nv4h	153	302
/m/015qh	154	299
/m/0l14j_	155	296
/m/02krf9	156	295
/m/06nm1	157	292
/m/03g3w	158	292
/m/02pqp12	159	290
/m/0cr3d	160	290
/m/06ncr	161	288
/m/07y_7	162	285
/m/027dtxw	163	284
/m/02n4kr	164	284
/m/0dq_5	165	284
/m/0hzlz	166	282
/m/03rj0	167	279
/m/02qvyrt	168	276
/m/06f32	169	273
/m/094qd5	170	272
/m/01_d4	171	270
/m/0cqhk0	172	269
/m/06pj8	173	268
/m/0bynt	174	264
/m/01g5v	175	264
/m/05842k	176	263
/m/014zcr	177	261
/m/0mkg	178	261
/m/02g_6x	179	260
/m/03bwzr4	180	260
/m/01r3hr	181	259
/m/06c1y	182	259
/m/06b1q	183	257
/m/07bdd_	184	252
/m/02ppm4q	185	252
/m/02j62	186	252
/m/016clz	187	247
/m/0bkj86	188	247
/m/07c52	189	246
/m/02g_6j	190	243
/m/0151w_	191	242
/m/02x73k6	192	242
/m/04gzd	193	240
/m/07brj	194	240
/m/0gqz2	195	239
/m/05pcn59	196	238
/m/05k7sb	197	237
/m/0c6qh	198	236
/m/02w9sd7	199	233
/m/0g1rw	200	232
/m/02fqwt	201	230
/m/03hkv_r	202	228
/m/02j71	203	228
/m/060__y	204	228
/m/01p1v	205	228
/m/02g_7z	206	228
/m/05tbn	207	228
/m/06t8v	208	226
/m/0rh6k	209	225
/m/01bgqh	210	224
/m/03_gx	211	224
/m/07f1x	212	224
/m/04306rv	213	223
/m/04nfpk	214	223
/m/05bt6j	215	223
/m/06z6r	216	222
/m/02qyntr	217	222
/m/0bxtg	218	221
/m/03hl6lc	219	221
/m/01pj7	220	220
/m/028tv0	221	219
/m/02p65p	222	218
/m/06fvc	223	218
