# entity id	tokens	
2	2 14 15 3
3	2 28 4 19 23 3
4	2 29 3
5	2 35 3
6	2 38 3
7	2 47 3
8	2 55 32 3
9	2 68 4 76 11 77 3
10	2 98 85 3
11	2 100 101 3
12	2 103 3
13	2 110 3
14	2 91 37 3
15	2 125 126 3
16	2 145 3
17	2 26 61 147 99 61 3
18	2 173 3
19	2 176 3
20	2 183 184 3
21	2 193 3
22	2 197 3
23	2 201 3
24	2 203 3
25	2 206 123 3
26	2 209 3
27	2 220 222 3
28	2 186 239 3
29	2 243 3
30	2 167 120 230 3
31	2 250 3
32	2 114 141 258 3
33	2 263 3
34	2 277 223 133 3
35	2 199 4 10 281 3
36	2 286 3
37	2 294 3
38	2 270 56 21 3
39	2 301 3
40	2 302 21 3
41	2 311 293 3
42	2 41 166 3
43	2 292 252 3
44	2 43 65 48 8 6 7 235 13 20 97 57 3
45	2 337 3
46	2 18 8 6 7 36 3
47	2 171 339 3
48	2 284 4 335 108 365 3
49	2 112 4 334 3
50	2 328 373 3
51	2 300 251 3
52	2 410 3
53	2 412 372 3
54	2 18 8 6 7 105 4 20 56 57 3
55	2 241 399 3
56	2 343 124 21 3
57	2 18 16 6 22 122 78 3
58	2 392 379 3
59	2 341 431 3
60	2 381 289 3
61	2 304 37 3
62	2 7 78 346 3
63	2 413 208 3
64	2 446 3
65	2 454 3
66	2 349 13 188 3
67	2 461 3
68	2 467 3
69	2 478 3
70	2 54 4 259 3
71	2 5 395 205 3
72	2 483 3
73	2 18 229 82 404 3
74	2 327 4 40 490 491 3
75	2 492 3
76	2 496 3
77	2 114 120 3
78	2 62 4 99 504 3
79	2 460 505 3
80	2 444 508 3
81	2 509 3
82	2 510 3
83	2 456 96 227 129 3
84	2 5 458 522 3
85	2 523 3
86	2 526 3
87	2 527 3
88	2 528 3
89	2 30 4 67 69 139 534 7 105 3
90	2 391 539 3
91	2 546 3
92	2 357 162 3
93	2 158 6 7 45 3
94	2 7 36 336 13 10 266 231 3
95	2 7 152 551 414 3
96	2 564 3
97	2 571 572 3
98	2 7 63 45 158 13 202 3
99	2 577 499 3
100	2 578 538 3
101	2 90 590 3
102	2 428 315 3
103	2 387 96 129 268 3
104	2 388 69 3
105	2 443 133 606 3
106	2 612 3
107	2 521 617 3
108	2 618 3
109	2 619 604 3
110	2 298 479 3
111	2 18 229 82 92 3
112	2 628 393 605 3
113	2 609 632 3
114	2 134 261 3
115	2 559 608 96 3
116	2 7 641 642 3
117	2 185 350 3
118	2 43 471 474 16 6 172 475 75 530 649 13 20 124 142 3
119	2 625 650 3
120	2 655 3
121	2 593 54 3
122	2 18 8 6 543 3
123	2 645 676 3
124	2 155 166 3
125	2 684 3
126	2 626 685 3
127	2 464 3
128	2 30 4 67 69 139 82 3
129	2 18 8 6 92 42 247 3
130	2 104 116 104 361 3
131	2 7 185 713 3
132	2 668 671 3
133	2 54 4 457 3
134	2 531 719 3
135	2 169 724 712 3
136	2 725 3
137	2 56 730 3
138	2 744 745 3
139	2 520 747 3
140	2 749 750 3
141	2 778 342 779 3
142	2 18 8 6 7 677 3
143	2 780 3
144	2 763 781 3
145	2 81 8 312 7 33 119 39 254 191 3
146	2 30 4 67 69 139 92 247 3
147	2 797 3
148	2 567 798 3
149	2 804 416 3
150	2 31 107 4 10 159 3
151	2 816 3
152	2 427 246 3
153	2 653 825 3
154	2 90 828 3
155	2 836 3
156	2 835 255 3
157	2 772 231 3
158	2 529 137 3
159	2 81 16 6 22 382 3
160	2 854 3
161	2 863 699 3
162	2 661 613 3
163	2 680 8 6 7 63 33 3
164	2 757 879 3
165	2 884 3
166	2 279 579 3
167	2 280 4 898 3
168	2 181 853 8 6 36 42 3
169	2 54 4 711 924 3
170	2 81 16 6 22 32 13 20 818 419 3
171	2 930 3
172	2 43 65 48 8 6 7 775 59 56 41 3
173	2 179 938 3
174	2 556 4 954 955 3
175	2 958 3
176	2 963 888 3
177	2 376 970 3
178	2 971 3
179	2 975 976 3
180	2 978 3
181	2 30 4 979 550 3
182	2 982 3
183	2 993 994 3
184	2 89 57 3
185	2 81 16 6 22 32 13 20 122 419 3
186	2 1021 3
187	2 788 42 3
188	2 416 1038 3
189	2 455 309 3
190	2 370 1061 3
191	2 265 1068 3
192	2 72 163 4 21 83 16 6 22 122 78 3
193	2 1071 3
194	2 308 1074 3
195	2 18 8 6 7 1078 92 148 3
196	2 102 44 8 6 7 813 3
197	2 624 4 635 3
198	2 565 1093 3
199	2 72 163 4 21 83 16 6 22 78 3
200	2 1059 714 3
201	2 1121 602 1114 3
202	2 407 48 4 198 8 6 7 1126 82 3
203	2 1128 3
204	2 115 748 208 3
205	2 332 4 1085 3
206	2 1133 359 3
207	2 1135 3
208	2 1144 3
209	2 1147 1057 3
210	2 31 8 6 759 94 5 159 3
211	2 1154 3
212	2 112 4 1054 3
213	2 1157 3
214	2 583 359 3
215	2 1159 3
216	2 1169 3
217	2 81 16 6 22 350 3
218	2 771 1127 3
219	2 407 48 4 198 8 6 7 92 82 3
220	2 1174 3
221	2 149 615 3
222	2 274 1180 3
223	2 1182 3
224	2 49 375 16 6 172 363 142 3
225	2 109 8 6 89 63 33 3
226	2 109 8 6 89 33 3
227	2 1189 3
228	2 1192 3
229	2 81 16 6 22 678 319 3
230	2 152 382 3
231	2 1202 42 3
232	2 1162 1204 3
233	2 111 4 10 1207 451 3
234	2 90 1215 3
235	2 155 215 3
236	2 18 16 6 22 692 141 3
237	2 202 130 228 3
238	2 516 1240 3
239	2 30 4 67 69 139 92 148 3
240	2 448 1241 1242 1243 3
241	2 5 689 4 10 204 837 12 3
242	2 102 44 8 6 7 1246 489 3
243	2 560 720 217 922 3
244	2 752 3
245	2 109 8 6 89 63 45 3
246	2 1256 3
247	2 19 1211 1262 3
248	2 43 65 48 8 6 7 170 33 13 20 63 191 59 97 57 3
249	2 1267 817 1268 894 3
250	2 697 3
251	2 34 1287 1288 1289 916 3
252	2 1291 687 3
253	2 1294 1198 3
254	2 1295 1296 85 3
255	2 109 8 6 89 43 1297 3
256	2 1300 3
257	2 316 1024 885 221 3
