# token	id	count	
of	4	45590
The	5	28052
for	6	26253
Best	7	19192
Award	8	17612
(film)	9	16442
the	10	14288
and	11	11780
film)	12	9867
in	13	9083
Yankee	14	8675
land	15	8643
award	16	8093
(movie)	17	8034
Academy	18	7969
United	19	7582
a	20	7461
film	21	6950
best	22	6782
States	23	6593
University	24	6435
Awards	25	6401
New	26	5131
John	27	4978
Currency	28	4749
/m/08mbj5d	29	4364
List	30	4273
Grammy	31	4077
actress	32	4003
Actor	33	3825
David	34	3683
Marrying	35	3679
Film	36	3598
movie	37	3594
Males	38	3567
A	39	3567
Congress	40	3433
Series	41	3413
Music	42	3404
Screen	43	3308
Movie	44	3268
Actress	45	3263
Michael	46	3243
Inglés	47	3225
Guild	48	3193
Primetime	49	3183
Outstanding	50	3148
movie)	51	3110
Emmy	52	3101
James	53	3059
Republic	54	2981
Theatre	55	2946
Comedy	56	2926
Picture	57	2869
College	58	2843
-	59	2831
football	60	2739
york	61	2719
State	62	2706
Supporting	63	2685
Performance	64	2655
Actors	65	2598
County,	66	2514
Golden	67	2471
UK	68	2361
Globe	69	2338
Richard	70	2323
&	71	2317
National	72	2292
City	73	2280
nominees	74	2254
by	75	2249
GB	76	2226
NI	77	2226
actor	78	2221
2	79	2208
winners	80	2201
Bafta	81	2129
Screenplay	82	2091
critics	83	2088
Robert	84	2079
(football)	85	2051
County	86	2047
(actor)	87	1969
or	88	1968
Worst	89	1959
ISO	90	1942
Dramatic	91	1935
Original	92	1926
William	93	1910
Of	94	1896
I	95	1834
Pictures	96	1830
Motion	97	1826
Striker	98	1797
new	99	1795
Attacking	100	1785
midfield	101	1785
MTV	102	1756
Leftwingback	103	1755
One	104	1733
Director	105	1732
School	106	1732
Album	107	1721
with	108	1713
Razzie	109	1707
DVD5	110	1695
Games	111	1691
Kingdom	112	1677
Peter	113	1675
Special	114	1669
Video	115	1659
World	116	1643
Jr.	117	1626
team	118	1615
In	119	1610
Effects	120	1587
de	121	1579
supporting	122	1573
Artist	123	1538
drama	124	1529
Goalkeeper	125	1508
(soccer)	126	1508
Paul	127	1503
Rock	128	1484
Entertainment	129	1469
Olympics	130	1467
Man	131	1446
Drama	132	1418
guitar	133	1413
Pop	134	1390
to	135	1388
Mark	136	1383
History	137	1365
Sir	138	1360
Awards:	139	1351
–	140	1308
effects	141	1295
series	142	1288
American	143	1271
Tony	144	1263
Gitar	145	1262
George	146	1236
city,	147	1233
Song	148	1225
Lead	149	1216
Charles	150	1196
Alan	151	1193
Art	152	1191
Brian	153	1187
Chris	154	1182
Musical	155	1177
Vocal	156	1176
(2011	157	1175
Oscar	158	1174
Year	159	1162
Tom	160	1160
Mary	161	1155
man	162	1154
society	163	1153
Bob	164	1150
Christopher	165	1141
Producer	166	1130
Visual	167	1127
Olympic	168	1121
London	169	1114
Male	170	1111
Al	171	1111
outstanding	172	1108
Purangsu	173	1102
Thomas	174	1096
national	175	1091
Co-Producer	176	1088
Hall	177	1088
Satellite	178	1086
Stephen	179	1083
(2009	180	1077
Anthony	181	1077
FC	182	1077
Scenario	183	1073
writer	184	1073
Sound	185	1070
El	186	1067
Love	187	1063
rock	188	1061
Scott	189	1050
Kevin	190	1034
Role	191	1033
Broadcast	192	1028
Kenadian	193	1027
Independent	194	1024
Winter	195	1021
Football	196	1012
Jermany	197	1008
America	198	1003
President	199	996
War	200	993
/m/0ch6mp2	201	990
2000	202	986
Females	203	986
King	204	986
state	205	981
MakeUp	206	976
series)	207	973
movies	208	972
Hud.gov	209	971
California	210	968
Elizabeth	211	968
(2010	212	965
Edward	213	964
Steve	214	954
films	215	943
Black	216	938
Time	217	937
on	218	933
J.	219	933
Concert	220	926
III	221	925
grand	222	922
bass	223	916
York	224	916
music	225	908
II	226	906
Home	227	906
Summer	228	899
Awards/Writing	229	898
Supervisor	230	896
Language	231	894
Records	232	893
Law	233	891
Spirit	234	891
Cast	235	889
Patrick	236	887
Harry	237	884
university	238	884
lay	239	884
Female	240	880
Eastern	241	876
Smith	242	873
Ænglaland	243	867
Club	244	864
Bill	245	862
college	246	861
Score	247	851
Martin	248	844
(TV	249	842
ITALY	250	840
Set	251	836
Netherlands	252	832
Band	253	830
Leading	254	826
director	255	819
association	256	819
Me	257	814
supervisor	258	814
Mexico	259	813
Frank	260	812
(music)	261	811
Williams	262	811
Aussieland	263	810
Star	264	810
Ben	265	810
English	266	808
San	267	805
Inc.	268	805
Country	269	800
Wacky	270	791
You	271	791
Henry	272	783
Day	273	779
Don	274	775
(band)	275	773
2006	276	773
Fretless	277	771
Ian	278	771
South	279	770
Island	280	768
Assembly	281	766
Los	282	766
Group	283	765
Bachelor	284	765
Steven	285	762
/m/05148p4	286	761
House	287	760
Men's	288	760
Writing	289	759
Miniseries	290	754
North	291	751
Metropolitan	292	751
Musicians	293	750
Directorial	294	748
Andrew	295	747
Benjamin	296	745
(American	297	742
Electric	298	740
3	299	739
Drum	300	737
Japón	301	736
Thriller	302	734
Jr	303	730
Action	304	728
Lee	305	726
school	306	721
at	307	721
La	308	720
television	309	720
Dame	310	715
Teenage	311	710
For	312	709
C.	313	708
Television	314	703
instrument	315	701
Alexander	316	697
Vincent	317	697
Joe	318	695
screenplay	319	693
Jane	320	693
Jack	321	690
Joseph	322	690
West	323	685
Gary	324	683
Show	325	677
Allen	326	676
Library	327	674
Swedish	328	670
4	329	669
Critics	330	667
Howard	331	666
Name	332	664
Green	333	663
Spain	334	661
arts	335	660
Not	336	657
Percussionist	337	656
(1996	338	656
Hind	339	652
Jones	340	651
Audio	341	651
back	342	650
Romantic	343	648
Washington	344	646
Eric	345	644
oscar	346	643
TV	347	643
St.	348	642
1980	349	642
editing	350	642
Good	351	642
Institute	352	641
from	353	641
Ray	354	641
Jim	355	640
Matthew	356	639
Front	357	638
Bruce	358	638
End	359	636
Kate	360	636
Dream	361	632
Basketball	362	632
comedy	363	628
Jon	364	623
honours	365	622
2010	366	621
Texas	367	617
F.	368	615
Jackson	369	615
Middle	370	613
Walter	371	610
Bros.	372	608
climate	373	607
Angeles	374	606
emmy	375	605
Max	376	604
(2004	377	602
Draft	378	602
england	379	601
2007	380	601
Professional	381	600
direction	382	598
Billy	383	595
Little	384	595
(musician)	385	595
Life	386	594
Columbia	387	593
Universal	388	592
Jason	389	590
Leonard	390	590
N	391	590
London,	392	588
Digital	393	588
Story	394	586
golden	395	586
Ann	396	585
NCAA	397	580
awards	398	579
Timezone	399	579
Stewart	400	578
White	401	577
De	402	576
Sam	403	576
Adaptation	404	575
Ryan	405	575
H.	406	574
Writers	407	570
(film	408	570
Baker	409	569
Soome	410	568
Red	411	567
Warmer	412	566
Adventure	413	566
Decoration	414	563
Jazz	415	562
Magister	416	559
Amy	417	558
Kelly	418	557
role	419	556
(2006	420	556
you	421	554
Rose	422	553
Louis	423	548
Young	424	547
Davis	425	547
Mike	426	546
Public	427	546
Bass	428	542
Blues	429	541
producer)	430	540
synthesis	431	538
(2012	432	537
Jerry	433	536
Jean	434	536
(soundtrack)	435	536
Tim	436	534
Jeff	437	534
Girl	438	533
Contemporary	439	533
With	440	527
Francis	441	526
Films	442	525
Acoustic	443	524
Catholic	444	524
Dan	445	522
Polskor	446	520
Road	447	520
Catherine	448	519
MLB	449	518
(2002	450	517
Olympiad	451	517
Instrumental	452	516
And	453	515
Denmarc	454	514
Old	455	514
Paramount	456	513
Korea	457	513
Russian	458	512
Leslie	459	512
Shang	460	511
Arxentina	461	510
Division	462	510
Parker	463	509
Comedic	464	509
L.	465	508
NY	466	507
/m/02vx4	467	507
Santa	468	506
Lawrence	469	506
International	470	505
actors	471	505
Political	472	505
A.	473	503
guild	474	503
performance	475	503
Administrative	476	502
All	477	501
Belgique	478	500
Guitar	479	500
Taylor	480	500
(2005	481	499
divisions	482	498
Period-piece	483	497
Josh	484	497
Fox	485	497
Chicago	486	496
Roger	487	495
Fred	488	495
Team	489	494
catalog	490	493
scheme	491	493
Ungheria	492	493
C	493	492
Guest	494	492
Joan	495	492
Brazília	496	492
original	497	491
basketball	498	490
Degree	499	489
Program	500	485
CA	501	483
Or	502	482
Dance	503	481
yourk	504	479
gang	505	478
Recording	506	477
Hugo	507	477
religion	508	477
Portuga	509	476
Songwriting	510	476
Harris	511	475
Soul	512	475
2005	513	475
Sean	514	475
Justin	515	475
Animated	516	474
Night	517	474
Laura	518	472
Last	519	471
Electronic	520	471
Church	521	471
federation	522	471
Ireland/Éire	523	470
Jennifer	524	470
Arthur	525	469
Ελλάδα	526	466
Fnatasy	527	465
挪威	528	465
Traditional	529	465
an	530	464
Murder	531	463
Virginia	532	463
Matt	533	462
Film,	534	462
Michigan	535	460
Prize	536	460
Human	537	460
producer	538	459
z	539	458
2003	540	458
F.C.	541	454
F	542	453
Editing	543	453
Johnson	544	452
Lady	545	452
BSAST	546	452
Albert	547	451
Tournament	548	451
Arts	549	449
backs	550	449
Direction-Set	551	449
Lost	552	448
Urban	553	446
General	554	446
Van	555	445
Rules	556	445
Boys	557	445
Dave	558	445
Twentieth	559	444
Pacific	560	444
R.	561	444
Carter	562	443
Business	563	443
Whitishness	564	442
Brad	565	441
Play	566	440
Higher	567	439
Silver	568	437
Dr.	569	437
Phillip	570	437
Geta	571	437
Bera	572	437
Days	573	436
Oliver	574	435
Company	575	435
League	576	434
Bachelor's	577	434
Artistic	578	433
African	579	433
Jeremy	580	433
2002	581	431
filmography	582	430
Defensive	583	430
We	584	430
Glen	585	429
S.	586	428
(state)	587	427
(1997	588	427
Adam	589	426
639:fra	590	426
Douglas	591	425
Jamie	592	424
Austrian	593	423
is	594	422
Association	595	421
Science	596	421
nominations	597	420
Wilson	598	419
Will	599	418
Ed	600	417
Queen	601	417
time	602	416
language	603	416
artist	604	416
FX	605	416
amplification	606	415
Choice	607	415
Century	608	415
Jewish	609	415
people	610	415
Larry	611	415
Overbending	612	415
player	613	414
(1999	614	412
guitarists	615	412
My	616	410
Organ	617	410
Turky	618	410
Voiceover	619	408
Sony	620	408
M.	621	407
It	622	407
Steel	623	407
Commonwealth	624	406
Domestic	625	406
Chinese	626	405
Piano	627	405
DFX/	628	404
Jessica	629	403
Town	630	402
2008	631	402
ancestry	632	402
Hollywood	633	400
England	634	400
Massachusetts	635	400
Brown	636	399
W.	637	398
Short	638	397
B.	639	397
Stone	640	397
Cinematography,	641	396
black-and-white	642	396
(producer)	643	395
Union	644	393
Confédération	645	393
Toronto	646	392
Men	647	392
Department	648	391
ensemble	649	390
partnerships	650	389
Michelle	651	388
Arizona	652	388
Imperial	653	387
records	654	386
Mandolinist	655	386
Gordon	656	385
Engineering	657	385
That	658	385
(2001	659	383
Jersey	660	383
Violin	661	382
Julia	662	382
(Film)	663	382
Be	664	381
Samuel	665	379
2004	666	379
Age	667	378
Israel	668	377
Rob	669	376
Grant	670	376
(region)	671	376
Anne	672	375
How	673	374
College,	674	373
Margaret	675	373
Suisse	676	372
Costume	677	372
adapted	678	371
Kenneth	679	371
BAFTA	680	369
Lewis	681	369
Natalie	682	369
Blue	683	369
Authour	684	367
civilisation	685	367
Festival	686	366
dark	687	366
Live	688	364
Return	689	364
Allison	690	364
band	691	363
visual	692	363
High	693	363
Barry	694	363
1	695	362
Daniel	696	362
Artists	697	361
Park	698	361
Quartet	699	360
U.S.	700	360
People	701	360
(disambiguation)	702	359
Fame	703	359
Lord	704	358
Rap	705	358
Miller	706	357
It's	707	357
Morgan	708	356
Moore	709	356
(The	710	355
China	711	355
2012	712	355
Mixing	713	354
Corp.	714	354
St	715	354
Christian	716	354
Keith	717	353
Baron	718	352
mystery	719	352
Daylight	720	352
Simon	721	352
Dennis	722	351
East	723	351
olympics	724	349
Singersongwriter	725	348
BFCA	726	348
Critics'	727	348
USA	728	348
Mountain	729	348
performer	730	347
tv	731	347
Harold	732	346
Empire	733	345
cast	734	344
Wild	735	344
(1998	736	343
Anna	737	343
MA	738	343
Dominic	739	341
Transport	740	341
football)	741	341
Long	742	341
(2008	743	340
Ceska	744	340
republika	745	340
Mr.	746	338
Keyboards	747	337
game	748	336
Mild	749	336
outlier	750	336
Nicholas	751	336
NYU	752	336
Brothers	753	335
Kim	754	335
Walt	755	334
Charlie	756	334
Mystery	757	331
Feature	758	331
Record	759	329
Daytime	760	328
Productions	761	327
From	762	325
Philippine	763	325
Bell	764	325
Terry	765	324
R&B	766	324
String	767	324
Eugene	768	324
Joshua	769	324
Greg	770	324
Samantha	771	323
Spanish	772	323
Big	773	322
Helen	774	322
Ensemble	775	322
Jenna	776	322
Two	777	322
Open	778	322
banjo	779	322
S'pore	780	322
archipelago	781	321
Carolina	782	321
city	783	320
Holmes	784	320
T	785	320
Nancy	786	320
Angels	787	319
Alternative	788	319
Saturn	789	318
Graham	790	316
G.	791	316
Fight	792	316
Hill	793	315
Alfred	794	314
Iron	795	314
On	796	314
African-americans	797	314
Doctorate	798	314
Hugh	799	314
Transformers	800	313
Clark	801	313
Attack	802	313
2001	803	312
Scientiæ	804	312
Kansas	805	311
Lisa	806	311
Collaboration	807	311
Seven	808	311
Duo	809	310
This	810	310
Pearl	811	309
(writer)	812	306
Kiss	813	306
Preston	814	306
European	815	305
Stfnal	816	305
Animation	817	305
leading	818	304
Craig	819	304
Cash	820	304
men's	821	303
Up	822	302
Agricultural	823	302
Education	824	302
currency	825	302
(2000	826	302
Austin	827	300
3166-1:BG	828	299
France	829	299
Lincoln	830	299
2009	831	299
Nick	832	298
Emily	833	298
Morris	834	296
Tv	835	296
Tootie-flute	836	296
(2003	837	296
Sara	838	296
board	839	295
review	840	295
Newman	841	295
Robin	842	294
