# relation id	tokens	
2	2 4 5 4 5 9 4 5 16 7 4 5 4 5 11 4 5 9 3
3	2 4 6 4 6 4 10 18 23 7 4 6 4 6 35 10 18 4 6 10 32 3
4	2 4 5 4 5 9 4 5 16 7 4 5 4 5 11 4 5 3
5	2 4 8 4 13 4 42 3
6	2 4 5 4 5 21 4 50 7 4 5 4 5 11 4 31 30 3
7	2 4 6 4 44 4 6 7 4 6 4 26 4 6 3
8	2 4 6 4 6 4 25 3
9	2 4 5 4 5 20 4 29 37 7 4 5 4 5 19 4 5 20 3
10	2 4 14 4 25 4 66 3
11	2 4 5 4 5 9 4 5 16 7 4 5 4 5 11 4 31 30 3
12	2 4 6 4 6 4 71 28 7 4 6 4 6 28 72 4 6 28 22 3
13	2 4 5 4 5 21 4 54 7 4 5 4 5 19 4 5 20 3
14	2 4 15 4 15 4 79 3
15	2 4 8 4 13 4 91 3
16	2 4 8 4 13 4 97 3
17	2 4 48 4 101 4 58 7 4 48 4 58 4 21 3
18	2 4 8 4 13 4 100 59 7 4 8 4 52 59 4 15 3
19	2 4 14 4 26 22 4 47 55 7 4 14 4 47 70 4 22 3
20	2 4 8 4 13 4 94 23 7 4 8 4 84 4 74 27 105 3
21	2 4 12 4 12 34 4 110 7 4 12 4 12 24 33 4 24 3
22	2 4 5 4 5 68 61 4 29 37 7 4 5 4 5 19 4 5 3
23	2 4 5 4 5 21 4 54 7 4 5 4 5 19 4 57 3
24	2 4 5 4 5 57 4 29 99 7 4 5 4 5 19 4 5 20 3
25	2 4 17 4 41 46 4 67 76 7 4 17 4 17 4 108 3
26	2 4 17 4 41 46 4 67 76 7 4 17 4 17 4 103 92 27 93 3
27	2 4 6 4 6 4 98 3
28	2 4 5 4 5 68 61 4 29 37 7 4 5 4 5 19 4 5 20 3
29	2 4 121 48 4 122 25 4 123 3
30	2 4 17 4 41 63 4 8 90 83 63 7 4 17 4 17 4 46 3
31	2 4 8 4 13 4 52 27 127 3
32	2 4 14 4 128 129 4 82 3
33	2 4 14 4 26 22 4 62 55 7 4 14 4 53 64 4 22 3
34	2 4 6 4 6 4 51 3
35	2 4 6 4 6 81 4 114 130 7 4 6 4 6 6 81 69 4 6 3
36	2 4 40 4 45 111 4 106 7 4 40 4 45 96 109 4 51 3
37	2 4 8 4 125 4 8 3
